context_mode,held_out_speaker,error_type,class_id,support,predicted_count,correct,precision,recall,f1
context_0_10,HQTV,addition,0,72,107,15,0.14018691588785046,0.20833333333333334,0.16759776536312848
context_0_10,HQTV,deletion,1,477,582,391,0.6718213058419243,0.8197064989517819,0.7384324834749764
context_0_10,HQTV,substitution,2,809,669,566,0.8460388639760837,0.6996291718170581,0.7658998646820027
context_0_10,PNV,addition,0,16,111,6,0.05405405405405406,0.375,0.09448818897637795
context_0_10,PNV,deletion,1,246,286,169,0.5909090909090909,0.6869918699186992,0.6353383458646616
context_0_10,PNV,substitution,2,631,496,431,0.8689516129032258,0.6830427892234548,0.7648624667258208
context_0_10,THV,addition,0,67,269,21,0.07806691449814127,0.31343283582089554,0.125
context_0_10,THV,deletion,1,406,428,282,0.6588785046728972,0.6945812807881774,0.6762589928057554
context_0_10,THV,substitution,2,926,702,622,0.886039886039886,0.67170626349892,0.7641277641277642
context_0_10,TLV,addition,0,43,262,17,0.0648854961832061,0.3953488372093023,0.11147540983606558
context_0_10,TLV,deletion,1,437,461,301,0.6529284164859002,0.6887871853546911,0.6703786191536748
context_0_10,TLV,substitution,2,789,546,467,0.8553113553113553,0.5918884664131813,0.699625468164794
