dataset,speaker_id,l1,gender,split,audio_path,utterance_id,target_text,tier_name,label,error_type,start_time,end_time,original_duration,context_start_time,context_end_time,context_duration
l2_arctic,ABA,Arabic,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ABA/wav/arctic_a0003.wav,arctic_a0003,For the twentieth time that evening the two men shook hands,phones,"sil,K,a",addition,3.091176,3.14,0.048824,2.841176,3.39,0.548824
l2_arctic,ABA,Arabic,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ABA/wav/arctic_a0003.wav,arctic_a0003,For the twentieth time that evening the two men shook hands,phones,"D,S,s",substitution,4.65,4.71,0.06,4.4,4.96,0.56
l2_arctic,ABA,Arabic,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ABA/wav/arctic_a0003.wav,arctic_a0003,For the twentieth time that evening the two men shook hands,phones,"Z,S,s ",substitution,4.71,4.87,0.16,4.46,5.12,0.66
l2_arctic,ABA,Arabic,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ABA/wav/arctic_a0005.wav,arctic_a0005,Will we ever forget it,phones,"ER0,AH0,s",substitution,0.9,1.07,0.17,0.65,1.32,0.67
l2_arctic,ABA,Arabic,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ABA/wav/arctic_a0005.wav,arctic_a0005,Will we ever forget it,phones,"IH0,EH,s",substitution,1.99,2.09,0.1,1.74,2.34,0.6
l2_arctic,ABA,Arabic,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ABA/wav/arctic_a0006.wav,arctic_a0006,God bless 'em I hope I'll go on seeing them forever,phones,"sil,DH,a",addition,0.93,1.012748,0.082748,0.68,1.262748,0.582748
l2_arctic,ABA,Arabic,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ABA/wav/arctic_a0006.wav,arctic_a0006,God bless 'em I hope I'll go on seeing them forever,phones,"ER0,AH0,s",substitution,4.57,4.66,0.09,4.32,4.91,0.59
l2_arctic,ABA,Arabic,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ABA/wav/arctic_a0007.wav,arctic_a0007,And you always want to see it in the superlative degree,phones,"IH1,EH,s",substitution,2.28,2.4,0.12,2.03,2.65,0.62
l2_arctic,ABA,Arabic,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ABA/wav/arctic_a0007.wav,arctic_a0007,And you always want to see it in the superlative degree,phones,"IH0,EH,s",substitution,2.91,3.11,0.2,2.66,3.36,0.7
l2_arctic,ABA,Arabic,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ABA/wav/arctic_a0007.wav,arctic_a0007,And you always want to see it in the superlative degree,phones,"P, B, s",substitution,4.0,4.07,0.07,3.75,4.32,0.57
l2_arctic,ABA,Arabic,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ABA/wav/arctic_a0007.wav,arctic_a0007,And you always want to see it in the superlative degree,phones,"R,R*,s",substitution,4.69,4.76,0.07,4.44,5.01,0.57
l2_arctic,ABA,Arabic,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ABA/wav/arctic_a0008.wav,arctic_a0008,Gad your letter came just in time,phones,"R, R*, s",substitution,1.06,1.119597,0.059597,0.81,1.369597,0.559597
l2_arctic,ABA,Arabic,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ABA/wav/arctic_a0008.wav,arctic_a0008,Gad your letter came just in time,phones,"ER0, R*,s",substitution,1.46,1.68,0.22,1.21,1.93,0.72
l2_arctic,ABA,Arabic,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ABA/wav/arctic_a0011.wav,arctic_a0011,If I ever needed a fighter in my life I need one now,phones,"ER0, AX, s",substitution,0.73,0.81,0.08,0.48,1.06,0.58
l2_arctic,ABA,Arabic,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ABA/wav/arctic_a0013.wav,arctic_a0013,He was a head shorter than his companion of almost delicate physique,phones,"P,B,s",substitution,2.7,2.76,0.06,2.45,3.01,0.56
l2_arctic,ABA,Arabic,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ABA/wav/arctic_a0013.wav,arctic_a0013,He was a head shorter than his companion of almost delicate physique,phones,"AH0,EY,s",substitution,4.83,4.95,0.12,4.58,5.2,0.62
l2_arctic,ABA,Arabic,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ABA/wav/arctic_a0018.wav,arctic_a0018,There was a change now,phones,"DH,Z,s",substitution,0.03,0.16,0.13,0.0,0.345,0.345
