epoch,train_loss,validation_loss,top1_accuracy,macro_f1,balanced_accuracy,macro_precision,macro_recall,top3_accuracy,correct_origin_top1,correct_origin_macro_f1,substitution_origin_top1,substitution_origin_macro_f1,epoch_seconds,speaker_ABA_macro_f1,speaker_HKK_macro_f1,speaker_HQTV_macro_f1,speaker_LXC_macro_f1,speaker_MBMPS_macro_f1,speaker_SVBI_macro_f1
1,3.081224702037038,2.5949994094588478,0.2562030341698568,0.18307941010708953,0.22134034853747492,0.19682454160598156,0.22134034853747492,0.5341344108889834,0.2574398292692566,0.19167437418445218,0.24544517016156756,0.1468425324040742,53.43674580000152,0.1797975698334385,0.2018279793597289,0.2058991551913582,0.1833048537093783,0.19961889059559645,0.17804131174667684
2,2.5806409539642714,2.322439814769983,0.3100453707642138,0.24726438698379666,0.28543274292047927,0.25111864917278054,0.28543274292047927,0.5928682830001418,0.3152195391850769,0.25989223349794666,0.2650395324853902,0.19134351776082667,55.98882529999901,0.2573961492964544,0.2738855534964423,0.26051771620176994,0.25807267858631644,0.27314948654206295,0.22628436647311168
3,2.3813709404323604,2.1763231419982865,0.34045796115128313,0.2757287010623767,0.3154086179011066,0.2887730718846864,0.3154086179011066,0.6279597334467603,0.3439908311267439,0.28900460621639046,0.3097284290134067,0.22007721655957577,52.979911999998876,0.2849492255928535,0.2984854038761144,0.2949534139417158,0.29476817373193964,0.2982161657370751,0.25378518856700444
4,2.257461457258384,2.105162224836524,0.3621154118814689,0.3056910310906702,0.3423233413658876,0.3212089927323949,0.3423233413658876,0.647844888699844,0.36651780421293917,0.32011551452008263,0.32382261945685803,0.24207729092069302,58.632114,0.311360798958669,0.32086383012280606,0.32587860271217256,0.32051452159483035,0.32850286601503925,0.2922551795360121
5,2.164625062855354,2.0042990283832203,0.37434425067347227,0.32024318741560653,0.36369129979951254,0.3315919865439926,0.36369129979951254,0.6721962285552248,0.3778603327668656,0.33586510152830773,0.3437607425232039,0.2524910655296402,58.3048807999985,0.3399921865475229,0.3378798684172988,0.3365018645796309,0.3422163526877775,0.3362096250376803,0.29691267717607
6,2.0879219755996092,1.937258861934684,0.39366227137388343,0.3368555947842436,0.3809017896101383,0.3664304383151319,0.3809017896101383,0.6972210406919042,0.3989645496581433,0.3559642472216581,0.3475421106909591,0.26727827883684796,61.47835569999734,0.367938975046958,0.3544100768943679,0.34235001536843385,0.35903468384713827,0.3682310614258545,0.2992964788492802
7,2.0285060743482917,1.8855475289727313,0.39614348504182617,0.35717856396793274,0.40385766049661587,0.3707802381433435,0.40385766049661587,0.6958740961293067,0.4013753309884203,0.37841097126814704,0.35063595737366793,0.2730833260258488,55.96865660000185,0.3885340840839102,0.3593475967605498,0.3620268901786184,0.3510374759044484,0.37921377110662496,0.33434834655378864
8,1.9733986549524571,1.8355354504366894,0.421558202183468,0.37723266593386795,0.41393727657447144,0.397154670629231,0.41393727657447144,0.7276690769885156,0.42730111054025216,0.40127871401398335,0.37160536266758337,0.2849718069694376,59.412307200000214,0.40513653466262617,0.38101123174669155,0.37437524576001635,0.3920518051300656,0.42210402218850523,0.3351134535947852
9,1.9242248564109947,1.8108802038812306,0.42886005954912804,0.38057210147451603,0.419198513959339,0.3982769802276472,0.419198513959339,0.7293350347369914,0.4348101015689839,0.40378990718327007,0.37710553454795465,0.2966085235546897,67.35043210000003,0.3886707545457294,0.3770268436529633,0.3850845429485531,0.3927617274347024,0.40896783124065045,0.37114670685826606
10,1.881276958578044,1.7691128046888165,0.41985679852545016,0.38651603051699296,0.4389222081973855,0.38824634113553447,0.4389222081973855,0.7301502906564582,0.42876338774058415,0.4109557881751486,0.34238569955311104,0.2857909547784929,65.18178049999915,0.4276705232744983,0.3979298678959342,0.38626715468369244,0.40216488922750265,0.4180103576378557,0.32814540532643427
11,1.8447357879660642,1.7406666188413804,0.4378633205728059,0.3924238011727839,0.43577765598669443,0.4120008922791409,0.43577765598669443,0.7404296044236495,0.4444532268900921,0.4166182816624837,0.38054314197318667,0.29462427984500345,70.22955150000053,0.4209807503821518,0.3940083632204,0.4002451964671827,0.39723031068792386,0.4261029089833207,0.3596600152016772
12,1.807073874767168,1.7203562806789443,0.44718559478236214,0.410323432756743,0.44951753294944696,0.4184319563127394,0.44951753294944696,0.7482277045228981,0.45611192348733354,0.4355164132588713,0.3695427982124441,0.30536971779403466,59.57944909999787,0.42581185971613106,0.41599712871194633,0.41002632681308904,0.41934030855234034,0.4268048226282057,0.3828806031013654
13,1.7763419498315594,1.6695005289125355,0.4487097688926698,0.4157775108791311,0.4658377470816715,0.4172468809118805,0.4658377470816715,0.7553523323408479,0.45682330158479234,0.4410771576722237,0.37813681677552424,0.31180987842512076,57.5045769999997,0.4578461426562052,0.421191835739524,0.40623943835783577,0.41618516952295687,0.4529932642415149,0.36919780475625974
14,1.7480730446999717,1.6620749658377445,0.46809868141216504,0.4223644293725485,0.4627011084992184,0.4262473410944388,0.4627011084992184,0.760988231958032,0.4770975773623681,0.44827925907148325,0.38982468202131315,0.31233425121044683,60.391932800001086,0.45292340282563576,0.432475917155182,0.4156371031470543,0.432426999634731,0.45853914234898374,0.38030992600596986
15,1.7217760381022773,1.665853567061214,0.45689777399688075,0.41598157277674924,0.47028320418807146,0.4216305328111517,0.47028320418807146,0.7571955196370339,0.4650041497055685,0.43991850424673445,0.3863870745960811,0.31890341488030555,60.91195969999899,0.45210660709599293,0.4079058321789927,0.44242187737795013,0.4227265516565936,0.4404485197322252,0.38143928382978703
16,1.6971620411510757,1.6262640863145714,0.46880759960300583,0.4301934080937624,0.4705972893650895,0.43387082719928793,0.4705972893650895,0.7693534666099532,0.4788365016006007,0.4543893895253386,0.38157442420075627,0.31425565858161425,58.345135100000334,0.45337896431649466,0.43680522150366263,0.44322576620381304,0.4297227756535344,0.4576338295388317,0.39360559033011094
17,1.676339913347365,1.6129129858248863,0.46838224868850137,0.4392999137615826,0.48528918371910423,0.4345341543525624,0.48528918371910423,0.773748759393166,0.47678140931905305,0.4588933797803955,0.3953248539016844,0.34254781649366717,58.540326899998036,0.46982358578537015,0.4397990856595102,0.4314229425089915,0.4488821521877276,0.470044749213981,0.37922311110222123
18,1.6549495722603464,1.5880595214414577,0.479937615199206,0.4432270273364347,0.4918426129550394,0.4358106466851613,0.4918426129550394,0.7839571813412732,0.48927004702999644,0.4633308230637026,0.39876246132691645,0.3361582720858176,55.06339300000036,0.48803326201645614,0.43836264944036796,0.4431504328087439,0.4450521978815184,0.48124613510241027,0.39070534797456163
