dataset,speaker_id,l1,gender,split,audio_path,utterance_id,start_time,end_time,label,error_type,target_text,duration,audio_exists,issue
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0006.wav,arctic_a0006,0.23,0.26,"D,D*,s",substitution,God bless 'em I hope I'll go on seeing them forever,0.03,True,very_short_duration
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0006.wav,arctic_a0006,0.23,0.26,"d,ʔ,s",substitution,God bless 'em I hope I'll go on seeing them forever,0.03,True,very_short_duration
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0008.wav,arctic_a0008,1.35,1.38,"R,sil,d ",deletion,Gad your letter came just in time,0.029999999999999805,True,very_short_duration
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0008.wav,arctic_a0008,1.35,1.38,"ɹ,sil,d ",deletion,Gad your letter came just in time,0.029999999999999805,True,very_short_duration
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0010.wav,arctic_a0010,2.98,3.01,"K,sil,d ",deletion,I'm playing a single hand in what looks like a losing game,0.029999999999999805,True,very_short_duration
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0010.wav,arctic_a0010,2.98,3.01,"k,sil,d ",deletion,I'm playing a single hand in what looks like a losing game,0.029999999999999805,True,very_short_duration
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0013.wav,arctic_a0013,5.28,5.31,"T,sil,d ",deletion,He was a head shorter than his companion of almost delicate physique,0.02999999999999936,True,very_short_duration
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0013.wav,arctic_a0013,5.28,5.31,"t,sil,d ",deletion,He was a head shorter than his companion of almost delicate physique,0.02999999999999936,True,very_short_duration
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0019.wav,arctic_a0019,3.39,3.42,"IH0,sil,d ",deletion,I followed the line of the proposed railroad looking for chances,0.029999999999999805,True,very_short_duration
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0019.wav,arctic_a0019,3.39,3.42,"ɪ,sil,d ",deletion,I followed the line of the proposed railroad looking for chances,0.029999999999999805,True,very_short_duration
