speaker_id,utterance_id,audio_path,start_time,end_time,true_error_type,predicted_error_type,confidence,is_correct,prob_deletion,prob_substitution
PNV,arctic_b0488,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0488.wav,2.96,3.03,deletion,substitution,0.9631598591804504,False,0.03684011474251747,0.9631598591804504
TLV,arctic_b0503,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0503.wav,0.88,0.96,deletion,substitution,0.9398673176765442,False,0.060132645070552826,0.9398673176765442
PNV,arctic_b0503,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0503.wav,3.66,3.72,deletion,substitution,0.9253888130187988,False,0.07461120188236237,0.9253888130187988
HQTV,arctic_b0534,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0534.wav,1.87,1.93,deletion,substitution,0.914700448513031,False,0.0852995291352272,0.914700448513031
HQTV,arctic_b0469,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0469.wav,0.85,0.99,deletion,substitution,0.9130464792251587,False,0.08695356547832489,0.9130464792251587
HQTV,arctic_b0469,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0469.wav,0.77,0.85,deletion,substitution,0.9124927520751953,False,0.08750726282596588,0.9124927520751953
THV,arctic_b0488,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0488.wav,4.45,4.53,deletion,substitution,0.8840677738189697,False,0.11593225598335266,0.8840677738189697
TLV,arctic_b0518,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0518.wav,0.9,1.01,deletion,substitution,0.8795261383056641,False,0.12047390639781952,0.8795261383056641
TLV,arctic_b0509,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0509.wav,0.52,0.66,deletion,substitution,0.8790164589881897,False,0.12098351866006851,0.8790164589881897
THV,arctic_b0503,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0503.wav,3.45,3.52,deletion,substitution,0.8733535408973694,False,0.12664644420146942,0.8733535408973694
THV,arctic_b0481,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0481.wav,1.78,1.85,deletion,substitution,0.8649486303329468,False,0.13505135476589203,0.8649486303329468
TLV,arctic_b0481,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0481.wav,2.89,3.06,deletion,substitution,0.8588885068893433,False,0.14111149311065674,0.8588885068893433
PNV,arctic_b0469,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0469.wav,0.96,1.03,deletion,substitution,0.851753294467926,False,0.14824670553207397,0.851753294467926
TLV,arctic_b0465,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0465.wav,0.23,0.33,deletion,substitution,0.8331495523452759,False,0.16685043275356293,0.8331495523452759
TLV,arctic_b0503,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0503.wav,0.96,1.01,deletion,substitution,0.8309633135795593,False,0.16903673112392426,0.8309633135795593
PNV,arctic_b0488,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0488.wav,0.98,1.04,deletion,substitution,0.8233624696731567,False,0.17663756012916565,0.8233624696731567
HQTV,arctic_b0481,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0481.wav,3.77,3.87,deletion,substitution,0.8233340978622437,False,0.17666588723659515,0.8233340978622437
HQTV,arctic_b0527,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0527.wav,0.72,0.78,deletion,substitution,0.8217768669128418,False,0.17822308838367462,0.8217768669128418
HQTV,arctic_b0518,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0518.wav,0.31,0.38,deletion,substitution,0.8164350390434265,False,0.1835649311542511,0.8164350390434265
TLV,arctic_b0481,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0481.wav,1.17,1.24,deletion,substitution,0.8095356225967407,False,0.19046436250209808,0.8095356225967407
TLV,arctic_b0465,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0465.wav,2.69,2.75,deletion,substitution,0.7984364628791809,False,0.20156355202198029,0.7984364628791809
THV,arctic_b0518,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0518.wav,0.43,0.54,deletion,substitution,0.7950007915496826,False,0.20499923825263977,0.7950007915496826
TLV,arctic_b0534,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0534.wav,3.83,3.86,substitution,deletion,0.791424572467804,False,0.791424572467804,0.20857539772987366
