speaker_id,utterance_id,audio_path,start_time,end_time,true_error_type,stage1_prediction,stage1_confidence,stage2_prediction,stage2_confidence,predicted_error_type,confidence,is_correct,prob_stage1_addition,prob_stage1_non_addition,prob_stage2_deletion,prob_stage2_substitution
TLV,arctic_b0518,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0518.wav,1.47748,1.667227,addition,non_addition,0.6557211875915527,substitution,0.9831088185310364,substitution,0.9831088185310364,False,0.3442787826061249,0.6557211875915527,0.016891205683350563,0.9831088185310364
PNV,arctic_b0488,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0488.wav,2.96,3.03,deletion,non_addition,0.6241990327835083,substitution,0.9631598591804504,substitution,0.9631598591804504,False,0.3758009970188141,0.6241990327835083,0.03684011474251747,0.9631598591804504
HQTV,arctic_b0527,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0527.wav,3.68,3.86,addition,non_addition,0.661931037902832,substitution,0.9513015151023865,substitution,0.9513015151023865,False,0.33806899189949036,0.661931037902832,0.04869849234819412,0.9513015151023865
TLV,arctic_b0481,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0481.wav,2.04,2.204873,addition,non_addition,0.6050434708595276,substitution,0.9374004006385803,substitution,0.9374004006385803,False,0.39495649933815,0.6050434708595276,0.06259962171316147,0.9374004006385803
THV,arctic_b0503,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0503.wav,1.565515,1.66,addition,non_addition,0.5269337892532349,substitution,0.9213570952415466,substitution,0.9213570952415466,False,0.4730662405490875,0.5269337892532349,0.07864291220903397,0.9213570952415466
THV,arctic_b0503,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0503.wav,1.342825,1.565515,addition,non_addition,0.7238124012947083,substitution,0.9201734066009521,substitution,0.9201734066009521,False,0.27618756890296936,0.7238124012947083,0.07982660830020905,0.9201734066009521
HQTV,arctic_b0534,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0534.wav,1.87,1.93,deletion,non_addition,0.6091305613517761,substitution,0.914700448513031,substitution,0.914700448513031,False,0.3908694386482239,0.6091305613517761,0.0852995291352272,0.914700448513031
HQTV,arctic_b0469,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0469.wav,0.85,0.99,deletion,non_addition,0.7483832836151123,substitution,0.9130464792251587,substitution,0.9130464792251587,False,0.2516167163848877,0.7483832836151123,0.08695356547832489,0.9130464792251587
HQTV,arctic_b0469,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0469.wav,0.77,0.85,deletion,non_addition,0.616798460483551,substitution,0.9124927520751953,substitution,0.9124927520751953,False,0.3832015097141266,0.616798460483551,0.08750726282596588,0.9124927520751953
HQTV,arctic_b0481,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0481.wav,0.574935,0.68,addition,non_addition,0.5821467041969299,substitution,0.9083216190338135,substitution,0.9083216190338135,False,0.4178532660007477,0.5821467041969299,0.09167834371328354,0.9083216190338135
TLV,arctic_b0481,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0481.wav,2.62,2.76664,addition,non_addition,0.5024494528770447,substitution,0.8956476449966431,substitution,0.8956476449966431,False,0.4975505471229553,0.5024494528770447,0.10435233265161514,0.8956476449966431
THV,arctic_b0488,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0488.wav,4.45,4.53,deletion,non_addition,0.5942480564117432,substitution,0.8840677738189697,substitution,0.8840677738189697,False,0.40575188398361206,0.5942480564117432,0.11593225598335266,0.8840677738189697
TLV,arctic_b0518,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0518.wav,0.9,1.01,deletion,non_addition,0.6047630906105042,substitution,0.8795261383056641,substitution,0.8795261383056641,False,0.39523687958717346,0.6047630906105042,0.12047390639781952,0.8795261383056641
TLV,arctic_b0509,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0509.wav,0.52,0.66,deletion,non_addition,0.6849631071090698,substitution,0.8790164589881897,substitution,0.8790164589881897,False,0.31503692269325256,0.6849631071090698,0.12098351866006851,0.8790164589881897
THV,arctic_b0481,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0481.wav,1.78,1.85,deletion,non_addition,0.5539234280586243,substitution,0.8649486303329468,substitution,0.8649486303329468,False,0.44607657194137573,0.5539234280586243,0.13505135476589203,0.8649486303329468
TLV,arctic_b0481,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0481.wav,2.89,3.06,deletion,non_addition,0.6466360688209534,substitution,0.8588885068893433,substitution,0.8588885068893433,False,0.35336393117904663,0.6466360688209534,0.14111149311065674,0.8588885068893433
HQTV,arctic_b0488,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0488.wav,4.83444,4.914694,addition,non_addition,0.5565732717514038,substitution,0.8571129441261292,substitution,0.8571129441261292,False,0.4434267580509186,0.5565732717514038,0.14288704097270966,0.8571129441261292
TLV,arctic_b0503,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0503.wav,1.310495,2.210495,addition,non_addition,0.685361921787262,substitution,0.8501178622245789,substitution,0.8501178622245789,False,0.31463807821273804,0.685361921787262,0.14988213777542114,0.8501178622245789
TLV,arctic_b0465,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0465.wav,0.23,0.33,deletion,non_addition,0.6118888258934021,substitution,0.8331495523452759,substitution,0.8331495523452759,False,0.3881111741065979,0.6118888258934021,0.16685043275356293,0.8331495523452759
TLV,arctic_b0503,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0503.wav,0.96,1.01,deletion,non_addition,0.5139753818511963,substitution,0.8309633135795593,substitution,0.8309633135795593,False,0.4860246181488037,0.5139753818511963,0.16903673112392426,0.8309633135795593
PNV,arctic_b0488,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0488.wav,0.98,1.04,deletion,non_addition,0.5297708511352539,substitution,0.8233624696731567,substitution,0.8233624696731567,False,0.4702291786670685,0.5297708511352539,0.17663756012916565,0.8233624696731567
HQTV,arctic_b0481,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0481.wav,3.77,3.87,deletion,non_addition,0.609044075012207,substitution,0.8233340978622437,substitution,0.8233340978622437,False,0.39095595479011536,0.609044075012207,0.17666588723659515,0.8233340978622437
HQTV,arctic_b0527,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0527.wav,0.72,0.78,deletion,non_addition,0.5065143704414368,substitution,0.8217768669128418,substitution,0.8217768669128418,False,0.4934856593608856,0.5065143704414368,0.17822308838367462,0.8217768669128418
TLV,arctic_b0481,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0481.wav,1.17,1.24,deletion,non_addition,0.5383077263832092,substitution,0.8095356225967407,substitution,0.8095356225967407,False,0.4616922438144684,0.5383077263832092,0.19046436250209808,0.8095356225967407
TLV,arctic_b0503,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0503.wav,2.645646,2.67,addition,non_addition,0.6129732728004456,deletion,0.7963492274284363,deletion,0.7963492274284363,False,0.38702675700187683,0.6129732728004456,0.7963492274284363,0.20365078747272491
