crop_mode,speaker_id,utterance_id,audio_path,start_time,end_time,true_error_type,predicted_error_type,confidence,is_correct,prob_addition,prob_deletion,prob_substitution
original_segment,TLV,arctic_b0469,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0469.wav,3.415836,3.67,addition,substitution,0.6482629179954529,False,0.2595801055431366,0.09215699136257172,0.6482629179954529
original_segment,THV,arctic_b0503,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0503.wav,1.342825,1.565515,addition,substitution,0.6191369891166687,False,0.29161712527275085,0.08924586325883865,0.6191369891166687
context_0_10,THV,arctic_b0481,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0481.wav,1.3,1.37,substitution,deletion,0.6136450171470642,False,0.19344963133335114,0.6136450171470642,0.19290538132190704
original_segment,TLV,arctic_b0503,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0503.wav,1.310495,2.210495,addition,substitution,0.5950034260749817,False,0.3158845603466034,0.08911196142435074,0.5950034260749817
context_0_10,HQTV,arctic_b0469,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0469.wav,0.71,0.74,substitution,deletion,0.5643863081932068,False,0.22995975613594055,0.5643863081932068,0.20565396547317505
context_0_10,TLV,arctic_b0465,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0465.wav,5.65,5.68,substitution,deletion,0.5544225573539734,False,0.2564752697944641,0.5544225573539734,0.1891021579504013
context_0_10,TLV,arctic_b0518,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0518.wav,2.29,2.34,substitution,deletion,0.5403798818588257,False,0.23473060131072998,0.5403798818588257,0.22488945722579956
original_segment,THV,arctic_b0481,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0481.wav,2.04,2.171196,substitution,addition,0.4966141879558563,False,0.4966141879558563,0.1434430480003357,0.35994285345077515
original_segment,TLV,arctic_b0518,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0518.wav,3.53,3.57,substitution,deletion,0.4912644624710083,False,0.24728795886039734,0.4912644624710083,0.26144760847091675
original_segment,HQTV,arctic_b0518,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0518.wav,0.31,0.38,deletion,addition,0.49055051803588867,False,0.49055051803588867,0.11047978699207306,0.39896970987319946
original_segment,THV,arctic_b0488,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0488.wav,4.8,4.89,substitution,deletion,0.47764864563941956,False,0.22497932612895966,0.47764864563941956,0.2973719835281372
original_segment,HQTV,arctic_b0488,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0488.wav,2.25,2.3,substitution,addition,0.47340479493141174,False,0.47340479493141174,0.20838169753551483,0.31821349263191223
original_segment,HQTV,arctic_b0518,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0518.wav,3.3,3.33,substitution,addition,0.467991441488266,False,0.467991441488266,0.18424321711063385,0.34776535630226135
context_0_10,THV,arctic_b0503,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0503.wav,1.342825,1.565515,addition,substitution,0.4653008282184601,False,0.29178154468536377,0.24291759729385376,0.4653008282184601
original_segment,TLV,arctic_b0465,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0465.wav,2.64,2.69,substitution,deletion,0.46382319927215576,False,0.27661874890327454,0.46382319927215576,0.2595581114292145
original_segment,PNV,arctic_b0481,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0481.wav,1.75,1.8,deletion,addition,0.461957722902298,False,0.461957722902298,0.19338825345039368,0.3446541130542755
original_segment,HQTV,arctic_b0488,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0488.wav,4.83444,4.914694,addition,substitution,0.46068060398101807,False,0.3578025698661804,0.1815168559551239,0.46068060398101807
original_segment,PNV,arctic_b0465,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0465.wav,6.31,6.34,substitution,deletion,0.4602900743484497,False,0.23485572636127472,0.4602900743484497,0.304854154586792
original_segment,PNV,arctic_b0509,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0509.wav,0.27,0.32,substitution,deletion,0.45997104048728943,False,0.21101097762584686,0.45997104048728943,0.3290179669857025
original_segment,THV,arctic_b0518,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0518.wav,3.16,3.21,deletion,addition,0.4599534869194031,False,0.4599534869194031,0.20143993198871613,0.33860650658607483
original_segment,TLV,arctic_b0469,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0469.wav,2.46,2.51,substitution,deletion,0.45783451199531555,False,0.268480122089386,0.45783451199531555,0.2736853361129761
original_segment,PNV,arctic_b0527,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0527.wav,1.61,1.74,substitution,addition,0.45770522952079773,False,0.45770522952079773,0.17352303862571716,0.3687717318534851
original_segment,HQTV,arctic_b0518,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0518.wav,0.23,0.27,substitution,deletion,0.4576927423477173,False,0.2724122703075409,0.4576927423477173,0.26989495754241943
original_segment,HQTV,arctic_b0509,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0509.wav,0.26,0.33,substitution,deletion,0.4554263949394226,False,0.2696617841720581,0.4554263949394226,0.2749118506908417
context_0_10,TLV,arctic_b0465,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0465.wav,2.22,2.27,substitution,deletion,0.45528578758239746,False,0.2734247148036957,0.45528578758239746,0.27128952741622925
original_segment,THV,arctic_b0503,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0503.wav,3.63,3.73,substitution,addition,0.45445629954338074,False,0.45445629954338074,0.2175215482711792,0.32802218198776245
original_segment,TLV,arctic_b0465,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0465.wav,3.461418,3.501519,substitution,deletion,0.4541275203227997,False,0.2614702880382538,0.4541275203227997,0.2844022214412689
original_segment,PNV,arctic_b0488,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0488.wav,0.98,1.04,deletion,addition,0.45358723402023315,False,0.45358723402023315,0.20094968378543854,0.3454630672931671
context_0_10,TLV,arctic_b0503,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0503.wav,2.645646,2.67,addition,deletion,0.45280346274375916,False,0.3047028183937073,0.45280346274375916,0.24249373376369476
original_segment,PNV,arctic_b0488,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0488.wav,2.54,2.61,substitution,deletion,0.4523400366306305,False,0.22287721931934357,0.4523400366306305,0.32478269934654236
context_0_10,THV,arctic_b0518,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0518.wav,2.13,2.18,substitution,deletion,0.4513104259967804,False,0.2730330526828766,0.4513104259967804,0.27565646171569824
original_segment,THV,arctic_b0518,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0518.wav,2.71,2.75,substitution,addition,0.45111316442489624,False,0.45111316442489624,0.20246702432632446,0.3464197814464569
original_segment,TLV,arctic_b0518,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0518.wav,2.29,2.34,substitution,deletion,0.44969314336776733,False,0.23229734599590302,0.44969314336776733,0.31800949573516846
original_segment,THV,arctic_b0509,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0509.wav,2.16,2.27,substitution,addition,0.4484883248806,False,0.4484883248806,0.1864577978849411,0.3650539219379425
original_segment,THV,arctic_b0509,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0509.wav,1.71,1.74,substitution,deletion,0.44848668575286865,False,0.271268755197525,0.44848668575286865,0.28024452924728394
original_segment,HQTV,arctic_b0465,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0465.wav,2.61,2.73,substitution,deletion,0.44656902551651,False,0.27002987265586853,0.44656902551651,0.28340113162994385
original_segment,TLV,arctic_b0509,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0509.wav,2.52,2.56,substitution,deletion,0.44583797454833984,False,0.22521492838859558,0.44583797454833984,0.3289470970630646
