epoch,train_loss,validation_loss,accuracy,balanced_accuracy,macro_f1,deletion_precision,deletion_recall,deletion_f1,correct_false_deletion_rate,substitution_false_deletion_rate,epoch_seconds
1,0.3978433031069074,0.4205644984576861,0.9582405535952863,0.5553997661366508,0.5721121631874699,0.25103734439834025,0.12359550561797752,0.16563997262149213,0.013041931786744655,0.01065658301821932,44.3684960999999
2,0.355394468600794,0.37100713803554086,0.9378233017025795,0.6779474993580633,0.6342905226136887,0.24165636588380718,0.39938712972420837,0.3011166730843281,0.04339406394498676,0.044345135785493296,42.63596800000005
3,0.3386172173758413,0.3624636611591846,0.931896817512247,0.6990385396603884,0.6355116221075625,0.23292747485442034,0.449438202247191,0.3068340306834031,0.051021617989961666,0.054314197318666206,39.45566770000005
4,0.3255630478778402,0.35804871885055367,0.9428248432736117,0.6736330189038575,0.6406795370795656,0.2610803324099723,0.38508682328907046,0.3111844820470491,0.03797968620321701,0.03643863870745961,39.601932399999896
5,0.319576345460552,0.35498205473488464,0.9372409304237608,0.6870132523530074,0.6381639119228969,0.24506873879258817,0.4187946884576098,0.3092006033182504,0.044500652096589335,0.047095221725678926,39.29408340000009
6,0.31369640662780396,0.3508636881052572,0.9456681853996095,0.6691879968491882,0.6434552646347536,0.27299925205684367,0.372829417773238,0.3151986183074266,0.0342647116942655,0.036094877964936406,39.920605799999976
7,0.3085592160989933,0.3521295911219475,0.9504641841663526,0.6598371559158028,0.6473919415187451,0.2967798085291558,0.34831460674157305,0.3204887218045113,0.02853416590918073,0.029563423856995532,39.80195319999984
8,0.3027469029268283,0.3510391167135781,0.9436127573567196,0.6848866969148083,0.6485442381584615,0.27235494880546074,0.40755873340143,0.3265139116202946,0.037544955143658854,0.039876246132691646,41.000665200000185
9,0.2985177902005765,0.35513253690654034,0.9422767291288411,0.6915905358045686,0.6496634155633114,0.26988265971316816,0.42288049029622066,0.3294866693195384,0.039797652452278384,0.038844963905122036,41.29702109999971
10,0.2957446090419351,0.34085194680404984,0.9440238429652975,0.6821413587217285,0.6477975019058091,0.2727272727272727,0.4014300306435138,0.3247933884297521,0.03655693000829941,0.042282571330354075,42.132892900000115
11,0.29118696857936377,0.34013991033982727,0.9274433900859854,0.73962575346997,0.6469599280792608,0.24031007751937986,0.5383043922369765,0.3322824716267339,0.05750306287791961,0.072533516672396,39.82943159999968
12,0.29083479510396765,0.3643825542510857,0.9113767942173958,0.7318066899574172,0.6213051743056363,0.1981981981981982,0.5393258426966292,0.28987098545155093,0.07603841441726278,0.07287727741491921,40.88029529999994
13,0.2865290313748086,0.34765622167089716,0.9482374704532219,0.6838282798835086,0.6573359556210778,0.2978723404255319,0.4004085801838611,0.3416122004357299,0.03240722443978975,0.0357511172224132,41.01707559999977
14,0.2843330196095799,0.34026380065425416,0.9458052139358021,0.6904579864956516,0.6560127479530075,0.28752642706131076,0.4167517875383044,0.3402835696413678,0.035252736829624945,0.04090752836026126,40.88384599999972
15,0.2787734850939165,0.3581557946407837,0.9461477852762837,0.6758451477917017,0.6483489411351867,0.28020756115641215,0.3861082737487232,0.3247422680412371,0.033592854602221084,0.041595049845307666,40.864651500000036
16,0.27961959246832424,0.3563495676768373,0.9523140694049536,0.6479761363219991,0.6434371663300571,0.30201342281879195,0.32175689479060265,0.3115727002967359,0.025214401454373,0.030938466827088347,42.502453900000546
17,0.2754863889173387,0.342047642401248,0.9441951286355383,0.688639003071303,0.6517652936869514,0.2777017783857729,0.41470888661899896,0.33265055305202784,0.03691261905702881,0.04193881058783087,41.07089569999971
18,0.2733447006936248,0.361049331580308,0.9427905861395636,0.6953073960515211,0.6526501324161298,0.2746249184605349,0.43003064351378956,0.3351910828025478,0.03849345927360392,0.047438982468202134,42.1338439000001
19,0.27116317636837245,0.34658576484443776,0.9318283032441506,0.7152721688276723,0.6431581539285935,0.24169647419519674,0.48314606741573035,0.32220708446866486,0.0518515591036636,0.059126847713991064,41.22074939999948
20,0.2665816541887139,0.34541487907291146,0.9371724161556644,0.7007818701450147,0.6451521404494114,0.2530329289428076,0.4473953013278856,0.3232472324723247,0.04537011421570565,0.049845307665864556,40.768501800000195
21,0.26998145142599883,0.3666956774075711,0.949710527217293,0.6555032327103977,0.6429956330760135,0.2883116883116883,0.34014300306435136,0.3120899718837863,0.028455123898351975,0.035063595737366796,41.62405299999955
22,0.26736314444817355,0.3664045536242391,0.95200575519852,0.659648684330388,0.6506175524877903,0.30818181818181817,0.34627170582226763,0.3261183261183261,0.02640003161680433,0.03196974905465796,41.52712139999949
23,0.2639518148922101,0.3379230309454013,0.9265869617347813,0.7372106705004731,0.6445875605461828,0.23665158371040723,0.5342185903983657,0.328002508623393,0.05884677706200846,0.06806462701959436,41.54974610000045
24,0.2653924327958362,0.3560418494747377,0.9524510979411462,0.6603720850174666,0.6520863019451104,0.3122130394857668,0.3472931562819203,0.3288201160541586,0.025649132513931153,0.034376074252320386,40.29874269999982
