dataset,speaker_id,l1,gender,split,audio_path,target_text,label,label_name,source_type,utterance_id
cmu_arctic,bdl,English,M,train,ai-training/datasets/cmu-arctic/raw/cmu_us_bdl_arctic/wav/arctic_a0001.wav,Author of the danger trail Philip Steels etc,0,native_reference,native_reference,arctic_a0001
cmu_arctic,bdl,English,M,train,ai-training/datasets/cmu-arctic/raw/cmu_us_bdl_arctic/wav/arctic_a0002.wav,Not at this particular case Tom apologized Whittemore,0,native_reference,native_reference,arctic_a0002
cmu_arctic,bdl,English,M,train,ai-training/datasets/cmu-arctic/raw/cmu_us_bdl_arctic/wav/arctic_a0003.wav,For the twentieth time that evening the two men shook hands,0,native_reference,native_reference,arctic_a0003
cmu_arctic,bdl,English,M,train,ai-training/datasets/cmu-arctic/raw/cmu_us_bdl_arctic/wav/arctic_a0004.wav,Lord but I'm glad to see you again Phil,0,native_reference,native_reference,arctic_a0004
cmu_arctic,bdl,English,M,train,ai-training/datasets/cmu-arctic/raw/cmu_us_bdl_arctic/wav/arctic_a0005.wav,Will we ever forget it,0,native_reference,native_reference,arctic_a0005
cmu_arctic,bdl,English,M,train,ai-training/datasets/cmu-arctic/raw/cmu_us_bdl_arctic/wav/arctic_a0006.wav,God bless 'em I hope I'll go on seeing them forever,0,native_reference,native_reference,arctic_a0006
cmu_arctic,bdl,English,M,train,ai-training/datasets/cmu-arctic/raw/cmu_us_bdl_arctic/wav/arctic_a0007.wav,And you always want to see it in the superlative degree,0,native_reference,native_reference,arctic_a0007
cmu_arctic,bdl,English,M,train,ai-training/datasets/cmu-arctic/raw/cmu_us_bdl_arctic/wav/arctic_a0008.wav,Gad your letter came just in time,0,native_reference,native_reference,arctic_a0008
cmu_arctic,bdl,English,M,train,ai-training/datasets/cmu-arctic/raw/cmu_us_bdl_arctic/wav/arctic_a0009.wav,He turned sharply and faced Gregson across the table,0,native_reference,native_reference,arctic_a0009
cmu_arctic,bdl,English,M,train,ai-training/datasets/cmu-arctic/raw/cmu_us_bdl_arctic/wav/arctic_a0010.wav,I'm playing a single hand in what looks like a losing game,0,native_reference,native_reference,arctic_a0010
cmu_arctic,bdl,English,M,train,ai-training/datasets/cmu-arctic/raw/cmu_us_bdl_arctic/wav/arctic_a0011.wav,If I ever needed a fighter in my life I need one now,0,native_reference,native_reference,arctic_a0011
cmu_arctic,bdl,English,M,train,ai-training/datasets/cmu-arctic/raw/cmu_us_bdl_arctic/wav/arctic_a0012.wav,Gregson shoved back his chair and rose to his feet,0,native_reference,native_reference,arctic_a0012
cmu_arctic,bdl,English,M,train,ai-training/datasets/cmu-arctic/raw/cmu_us_bdl_arctic/wav/arctic_a0013.wav,He was a head shorter than his companion of almost delicate physique,0,native_reference,native_reference,arctic_a0013
cmu_arctic,bdl,English,M,train,ai-training/datasets/cmu-arctic/raw/cmu_us_bdl_arctic/wav/arctic_a0014.wav,Now you're coming down to business Phil he exclaimed,0,native_reference,native_reference,arctic_a0014
cmu_arctic,bdl,English,M,train,ai-training/datasets/cmu-arctic/raw/cmu_us_bdl_arctic/wav/arctic_a0015.wav,It's the aurora borealis,0,native_reference,native_reference,arctic_a0015
cmu_arctic,bdl,English,M,train,ai-training/datasets/cmu-arctic/raw/cmu_us_bdl_arctic/wav/arctic_a0016.wav,There's Fort Churchill a rifle-shot beyond the ridge asleep,0,native_reference,native_reference,arctic_a0016
