epoch,train_ctc_loss,train_online_per,train_online_exact,validation_ctc_loss,validation_per,validation_exact,binary_macro_f1,balanced_accuracy,deletion_precision,deletion_recall,deletion_f1,substitution_false_deletion_rate,three_relation_macro_f1,epoch_seconds
1,5.259353903520517,0.9989590942293645,0.017713266498554647,3.332475565481877,0.8803052354167487,0.04218426501035197,0.3246836105820751,0.42265667961547937,0.02537099090473911,0.4059080962800875,0.047756967239492826,0.539039039039039,0.15475961465812085,15.660702799999854
2,3.1528681800465015,0.885299488677867,0.0325973307091457,3.004207251975255,0.8432128387680446,0.04723084886128364,0.32989063046483647,0.42771115784385527,0.025824864262842823,0.4059080962800875,0.04856020942408377,0.5555555555555556,0.17374175258478539,14.869317799999408
3,2.90261998469264,0.8454346238130022,0.0463743157635771,2.849369405836299,0.818904141918735,0.054865424430641824,0.37024245166771647,0.4634865171021847,0.029435813573180702,0.3938730853391685,0.054777845404747415,0.4530780780780781,0.19228553146570268,15.003082799999902
4,2.7438031720150233,0.8135500365230095,0.057506611722738174,2.7094918668393517,0.7906226645163829,0.0661231884057971,0.3752987135407101,0.4793726687123455,0.031692180388911875,0.4190371991247265,0.0589276098161397,0.4485735735735736,0.20728491110882885,20.917508999998972
5,2.621804219593208,0.7867969320672024,0.06747032412817516,2.618503170971051,0.7620658458875821,0.06728778467908902,0.4000912801905393,0.5044199625918088,0.035431235431235435,0.41575492341356673,0.06529770598848698,0.39414414414414417,0.22528599450768447,22.70422260000123
6,2.531263924237437,0.7628378378378379,0.07989421243618919,2.5154443576962806,0.7433819769500059,0.08372153209109731,0.41028232219347294,0.5145755265115557,0.037237710570387154,0.4135667396061269,0.06832354270221419,0.3656156156156156,0.23611424763371971,22.632549899999503
7,2.4552204897940557,0.7453798392987582,0.08536810381942309,2.458204310009445,0.7206466585375447,0.08812111801242237,0.4290699983806827,0.5446060533239298,0.04320587599913588,0.437636761487965,0.07864726700747149,0.3269519519519519,0.2530103232063044,23.762496100000135
8,2.3962500686318213,0.7308802045288532,0.08948889845623963,2.407462021825723,0.7205679896157023,0.08514492753623189,0.4189217994432498,0.5446921458721495,0.04261078804892721,0.4649890590809628,0.07806759735488611,0.37012012012012013,0.2499702276525452,20.328711800000747
9,2.348367138523055,0.7188276113951789,0.09502429423703795,2.373035218528092,0.6991307084136412,0.09575569358178054,0.442725543750879,0.5537395883102113,0.04596745456705072,0.4234135667396061,0.08293153326904533,0.3066816816816817,0.2637355597719194,18.948032899999816
10,2.304701471161568,0.7083820306793279,0.0998831416446276,2.374322673672228,0.7157298509223932,0.10494306418219462,0.4271597622792674,0.5256313288566643,0.039674689526321576,0.3949671772428884,0.07210626185958255,0.31906906906906907,0.2533012353580532,20.036141300000963
11,2.266548333070369,0.6997078159240322,0.10357340549849314,2.3072056806112173,0.6922078432915076,0.10403726708074534,0.44235448004801387,0.5563298744542128,0.046413005065378724,0.4310722100656455,0.08380304158247368,0.31343843843843844,0.2678538763657476,20.153748200000337
12,2.2306455704652484,0.6902300949598247,0.10837074850851836,2.26798834551442,0.6837115997325257,0.10106107660455486,0.43284704067837954,0.5661142140195765,0.047225501770956316,0.4814004376367615,0.08601309744892972,0.3502252252252252,0.2715646743056607,20.074325800000224
13,2.2032159658014736,0.6847516435354273,0.11372163109662341,2.2642241443659703,0.6784014475081619,0.10649585921325051,0.4487640968525368,0.5648902409308891,0.0487207736565063,0.43544857768052514,0.08763624353187273,0.3033033033033033,0.27523173386816463,20.000271999999313
14,2.1738057945537,0.6757121986851716,0.11507472784304078,2.261215283263544,0.6634936868190221,0.09510869565217392,0.46360893808348325,0.5952471706085334,0.056719937123395334,0.4737417943107221,0.1013102480112307,0.2972972972972973,0.28815592729500383,20.838733700000375
15,2.1502556608453345,0.6699050401753105,0.11458269266252537,2.2242165001159377,0.6716359202297133,0.10584886128364389,0.44586120532312573,0.5828649060952147,0.05157493942540672,0.4890590809628009,0.09330967539922763,0.3322072072072072,0.28035118916902707,20.27761780000037
16,2.125366725284636,0.6621073776479182,0.12196322037025648,2.209144024868683,0.6757267041655194,0.10571946169772256,0.44173621701663734,0.5750664403801895,0.04969998867881807,0.4803063457330416,0.09007899866625628,0.3352102102102102,0.2771921484355963,21.234191100000317
17,2.1010037726365858,0.656227173119065,0.12380835229718926,2.192736253975341,0.6654604098650828,0.10351966873706005,0.44842518137430315,0.5877045295137994,0.052772913018096904,0.49452954048140046,0.0953687097795126,0.3310810810810811,0.284008995642366,20.418013900000005
18,2.0792544659114176,0.65009130752374,0.12473091826065563,2.152896592890994,0.6639657003500767,0.11438923395445134,0.4460556066256876,0.5709893847737421,0.049503780718336485,0.45842450765864334,0.08935807208359992,0.31906906906906907,0.2831958271386453,20.33761720000075
19,2.0560240407983965,0.6467311906501095,0.12811366012669906,2.1750249022899455,0.6629823388270464,0.12745859213250518,0.45688503253276397,0.5734848206421742,0.05147439213657527,0.43544857768052514,0.09206569511913024,0.29204204204204204,0.28296160787145114,20.501513300001534
20,2.041480369897513,0.6422753834915997,0.12792914693400578,2.112874202661633,0.6558628014003068,0.11542443064182195,0.447189268003855,0.5920627146234939,0.05333792154163799,0.5087527352297593,0.0965531561461794,0.3280780780780781,0.29015713356408773,20.379161299999396
21,2.014242199809138,0.6366143170197224,0.13383356910019067,2.1146874941777494,0.6557841324784643,0.11361283643892339,0.45168501740246997,0.5846319873861183,0.052720472915912656,0.47811816192560175,0.09496903183744432,0.3055555555555556,0.2880406508700688,20.47964260000117
22,1.9970421994903356,0.6307341124908693,0.13598622301494556,2.1151934810306714,0.6537780749714825,0.11490683229813664,0.44955689660897324,0.5893136059105321,0.05321898496240601,0.49562363238512036,0.09611712285168682,0.32957957957957956,0.2917018914769565,20.245936299999812
23,1.9814188070817513,0.627081811541271,0.13690878897841197,2.1014178715507437,0.6498446288793612,0.13146997929606624,0.45263029134948346,0.5787703350340682,0.05180900812207728,0.46061269146608314,0.09314159292035398,0.31006006006006004,0.2903161560023522,20.567515700000513
24,1.9642629968158813,0.6222059897735573,0.1386309121102159,2.067093418436761,0.6364709121661488,0.11801242236024845,0.45907740121436913,0.588889533943445,0.05470543228768172,0.46936542669584247,0.09798994974874371,0.3014264264264264,0.2992875946480113,20.511173099999723
25,1.9518156410605347,0.6199598246895545,0.1405990528322775,2.0860439243400566,0.6472485544585611,0.11710662525879917,0.4499026343152356,0.5857865657064956,0.05265654648956357,0.48577680525164113,0.09501390969398674,0.31981981981981983,0.2931161604548949,20.589681800000108
26,1.9349500985887262,0.6148100803506209,0.14275170674703241,2.034743663995656,0.6248279117334697,0.12280020703933747,0.46001414148537234,0.6018074184793297,0.057182182182182184,0.5,0.1026274421738154,0.3141891891891892,0.3070939986446309,20.303784599998835
27,1.9173574169166443,0.6091124908692477,0.14490436066178733,2.0150437181657392,0.6134602525272391,0.1151656314699793,0.47025929289808166,0.6087593756097595,0.06061015118790497,0.4912472647702407,0.10790675318433068,0.28866366366366364,0.3132303296409777,20.576443300000392
28,1.9031537901806035,0.6066837107377648,0.14521188264960944,2.0268819580166975,0.6207371277976635,0.1182712215320911,0.47036961974869534,0.6054843729006738,0.06004901960784314,0.4824945295404814,0.10680552191813998,0.2957957957957958,0.307835308508068,20.26123480000024
29,1.8930155151378214,0.6015157048940832,0.1465034749984624,2.030855010755314,0.6157809857215907,0.11231884057971014,0.4710522848029659,0.6159227016732467,0.06206527554842162,0.5076586433260394,0.11060786650774732,0.29354354354354356,0.31571868169278117,21.00154459999976
30,1.8788421907961035,0.600146092037984,0.1508087828279722,2.0127941840183663,0.6299020571923062,0.11633022774327122,0.456259638044322,0.608328331889205,0.057590996168582376,0.526258205689278,0.1038204187351608,0.3183183183183183,0.3051969941770465,20.914564799999425
31,1.8715906666612498,0.5988130021913806,0.15093179162310105,2.0285284872751057,0.633009479605082,0.13082298136645962,0.45894890054339205,0.5960062525439369,0.05595984943538269,0.487964989059081,0.10040522287257991,0.30743243243243246,0.3039192444911003,20.37399539999933
32,1.8540969564800474,0.5921840759678597,0.15351497632080693,1.9619751393054583,0.6119262085513119,0.13004658385093168,0.4660496376108898,0.6036728359225364,0.05874622157970824,0.4890590809628009,0.10489264343541006,0.29316816816816815,0.3122990197969311,19.98165390000031
33,1.8468301589363314,0.5911431701972243,0.15548311704286857,1.969410520903072,0.6166463438618573,0.130175983436853,0.4583197048660757,0.600934787336989,0.05670867309117865,0.5021881838074398,0.10190941385435169,0.30593093093093093,0.30968409958261184,20.675747400000546
34,1.8369929379470762,0.5883126369612857,0.15456055107940217,2.003662908854692,0.6230185265310939,0.1291407867494824,0.4626963456452302,0.5934647256386922,0.05621494717620973,0.47155361050328226,0.10045449248339354,0.29354354354354356,0.30778474540235745,19.76080759999968
35,1.8252024305461407,0.5846603360116873,0.15511409065748202,1.9728625983801935,0.6028399480785116,0.12487060041407867,0.47694100707132253,0.6124429359826915,0.0629719333238353,0.48358862144420134,0.11143325349804614,0.2807807807807808,0.3193130914357745,20.418543400001
36,1.8135238947980672,0.583290723155588,0.1576972753551879,1.955641302015964,0.6197931007355544,0.1286231884057971,0.4549103797263894,0.5965759351768084,0.055340276095907,0.5,0.09965111208024423,0.32432432432432434,0.30785894429317956,21.414446599999792
